Raw,Fixed
Αθήνα,Αθηναίων
Ζωγράφου,Ζωγράφου
Καισαριανή,Καισαριανή
Καλλιθέα,Καλλιθέα
Βύρωνας,Βύρωνας
Γαλάτσι,Γαλάτσι
Περιστέρι,Περιστέρι
Υμηττός,Δάφνη - Υμηττός
Νέο Ψυχικό,Φιλοθέης - Ψυχικού
Νέα Σμύρνη,Νέα Σμύρνη
Athina,Αθηναίων
Νέα Ιωνία,Νέα Ιωνία
Άγιοι Ανάργυροι,Άγιοι Ανάργυροι - Καματερό
Ίλιον,Ίλιον
Μαρούσι,Μαρούσι
Χαλάνδρι,Χαλάνδρι
Μενεμένη,Αθηναίων
Δάφνη Αττικής,Δάφνη - Υμηττός
Φιλοθέη,Φιλοθέης - Ψυχικού
Ταύρος Αττικής,WRONG
Αιγάλεω,Αιγάλεω
Ψυχικό,Φιλοθέης - Ψυχικού
Μοσχάτο,WRONG
Χολαργός,Παπάγου - Χολαργός
Παπάγου,Παπάγου - Χολαργός
Άγιος Δημήτριος Αττικής,Άγιος Δημήτριος
Συκιές,WRONG
Νέα Χαλκηδόνα,Φιλαδέλφεια - Χαλκηδόνα
Θεσσαλονίκη,WRONG
Αμπελόκηποι,Αθηναίων
Zografou,Ζωγράφου
Dafni,Δάφνη - Υμηττός
Kallithea,Καλλιθέα
Ηλιούπολη,Ηλιούπολη
Άγιος Νικόλαος,Αθηναίων
Psichiko,Φιλοθέης - Ψυχικού
Γλυφάδα,Γλυφάδα
Vironas,Βύρωνας
Παπάγου - Χολαργός,Παπάγου - Χολαργός
Δάφνη - Υμηττός,Δάφνη - Υμηττός
Φιλαδέλφεια - Χαλκηδόνα,Φιλαδέλφεια - Χαλκηδόνα
Άγιος Δημήτριος,Άγιος Δημήτριος
Φιλοθέης - Ψυχικού,Φιλοθέης - Ψυχικού
Αθηναίων,Αθηναίων
Άγιοι Ανάργυροι - Καματερό,Άγιοι Ανάργυροι - Καματερό
WRONG,WRONG
