dimos,kwd_ypes,enotites
Άγιοι Ανάργυροι - Καματερό,9180,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Άγιος Δημήτριος,9194,ΝΟΤΙΟΣ ΤΟΜΕΑΣ ΑΘΗΝΩΝ
Αθηναίων,9186,ΚΕΝΤΡΙΚΟΣ ΤΟΜΕΑΣ ΑΘΗΝΩΝ
Αιγάλεω,9181,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Βύρωνας,9187,ΚΕΝΤΡΙΚΟΣ ΤΟΜΕΑΣ ΑΘΗΝΩΝ
Γαλάτσι,9188,ΚΕΝΤΡΙΚΟΣ ΤΟΜΕΑΣ ΑΘΗΝΩΝ
Γλυφάδα,9196,ΝΟΤΙΟΣ ΤΟΜΕΑΣ ΑΘΗΝΩΝ
Δάφνη - Υμηττός,9189,ΚΕΝΤΡΙΚΟΣ ΤΟΜΕΑΣ ΑΘΗΝΩΝ
Ζωγράφου,9190,ΚΕΝΤΡΙΚΟΣ ΤΟΜΕΑΣ ΑΘΗΝΩΝ
Ηλιούπολη,9191,ΚΕΝΤΡΙΚΟΣ ΤΟΜΕΑΣ ΑΘΗΝΩΝ
Ίλιον,9182,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Καισαριανή,9192,ΚΕΝΤΡΙΚΟΣ ΤΟΜΕΑΣ ΑΘΗΝΩΝ
Καλλιθέα,9198,ΝΟΤΙΟΣ ΤΟΜΕΑΣ ΑΘΗΝΩΝ
Μαρούσι,9168,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Νέα Ιωνία,9174,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Νέα Σμύρνη,9200,ΝΟΤΙΟΣ ΤΟΜΕΑΣ ΑΘΗΝΩΝ
Παπάγου - Χολαργός,9175,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Περιστέρι,9183,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Φιλαδέλφεια - Χαλκηδόνα,9193,ΚΕΝΤΡΙΚΟΣ ΤΟΜΕΑΣ ΑΘΗΝΩΝ
Φιλοθέης - Ψυχικού,9177,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
Χαλάνδρι,9178,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ
