Raw,Fixed
Αθήνα,Αθήνα
Ζωγράφου,Ζωγράφου
Καισαριανή,Καισαριανή
Καλλιθέα,Καλλιθέα
Βύρωνας,Βύρωνας
Γαλάτσι,Γαλάτσι
Περιστέρι,Περιστέρι
Υμηττός,Υμηττός
Νέο Ψυχικό,Νέο Ψυχικό
Νέα Σμύρνη,Νέα Σμύρνη
Athina,Αθήνα
Νέα Ιωνία,Νέα Ιωνία
Άγιοι Ανάργυροι,Άγιοι Ανάργυροι
Ίλιον,Ίλιον
Μαρούσι,Μαρούσι
Χαλάνδρι,Χαλάνδρι
Μενεμένη,Αθήνα
Δάφνη Αττικής,Δάφνη
Φιλοθέη,Φιλοθέη
Ταύρος Αττικής,Ταύρος
Αιγάλεω,Αιγάλεω
Ψυχικό,Ψυχικό
Μοσχάτο,Μοσχάτο
Χολαργός,Χολαργός
Παπάγου,Παπάγου
Άγιος Δημήτριος Αττικής,Άγιος Δημήτριος
Συκιές,WRONG
Νέα Χαλκηδόνα,Νέα Χαλκηδόνα
Θεσσαλονίκη,WRONG
Αμπελόκηποι,Αθήνα
Zografou,Ζωγράφου
Dafni,Δάφνη
Kallithea,Καλλιθέα
Ηλιούπολη,Ηλιούπολη
Άγιος Νικόλαος,Άγιος Νικόλαος
Psichiko,Ψυχικό
Γλυφάδα,Γλυφάδα
Vironas,Βύρωνας
