id,internal_id,title_abbreviation,address,price,price_per_unit_area,size_with_square_meter,construction_year,levels,bedrooms,bathrooms,date,extraction_date,geo_lat,geo_lng,company_title,account_id,ad_group_id,url,dimos,perioxi,type,area,price_per_area,level_list,min_level,level_length,temp_no,temp_date_unit,days_passed
815053331,47143151,Διαμέρισμα 54 τ.μ.,Αθήνα (Λυκαβηττός),560.0,10,54 τ.μ.,1970.0,"['-1', '0']",1.0,1.0,πριν από 2 ημέρες,2023-06-01,37.97977657228816,23.7428840267846,,2267566.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/815053331/athhna-lykavhttos-560-54,Αθήνα,Λυκαβηττός,Διαμέρισμα,54.0,10.37037037037037,"[-1.0, 0.0]",0.0,2,2,ημ,2
815047933,47142491,Διαμέρισμα 45 τ.μ.,Αθήνα (Άνω Πατήσια),420.0,9,45 τ.μ.,1969.0,['1'],1.0,1.0,πριν από 2 ημέρες,2023-06-01,38.01748120388152,23.73568359088844,,1407351.0,459093.0,https://www.xe.gr/property/d/enoikiaseis-katoikion/815047933/athhna-anw-pathsia-420-45,Αθήνα,Άνω Πατήσια,Διαμέρισμα,45.0,9.333333333333334,[1.0],1.0,1,2,ημ,2
815017929,47140206,Διαμέρισμα 60 τ.μ.,Αθήνα (Κουντουριώτικα),780.0,13,60 τ.μ.,1975.0,['2'],1.0,1.0,πριν από 2 ημέρες,2023-06-01,37.99229079917208,23.75557862318335,,110841.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/815017929/athhna-koyntoyriwtika-780-60,Αθήνα,Κουντουριώτικα,Διαμέρισμα,60.0,13.0,[2.0],2.0,1,2,ημ,2
814952950,47138240,Διαμέρισμα 55 τ.μ.,Αθήνα (Πολύγωνο),600.0,11,55 τ.μ.,1981.0,['1'],1.0,1.0,πριν από 3 ημέρες,2023-06-01,37.99908252585826,23.755417176148395,,1344554.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/814952950/athhna-polygwno-600-55,Αθήνα,Πολύγωνο,Διαμέρισμα,55.0,10.909090909090908,[1.0],1.0,1,3,ημ,3
814956607,47138448,Διαμέρισμα 50 τ.μ.,Αθήνα (Πανόρμου),790.0,16,50 τ.μ.,1970.0,['1'],1.0,1.0,πριν από 3 ημέρες,2023-06-01,37.990937,23.765072,BLUEGROUND REAL ESTATE,1220409.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/814956607/athhna-panormoy-790-50,Αθήνα,Πανόρμου,Διαμέρισμα,50.0,15.8,[1.0],1.0,1,3,ημ,3
814941511,47137519,Διαμέρισμα 49 τ.μ.,Αθήνα (Λόφος Σκουζέ),400.0,8,49 τ.μ.,1972.0,['1'],1.0,1.0,πριν από 3 ημέρες,2023-06-01,38.00010355224278,23.71912616346576,Energy Real Estate,2203409.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/814941511/athhna-lofos-skoyze-400-49,Αθήνα,Λόφος Σκουζέ,Διαμέρισμα,49.0,8.16326530612245,[1.0],1.0,1,3,ημ,3
814950238,47138010,Διαμέρισμα 140 τ.μ.,Αθήνα (Κάτω Πατήσια),800.0,6,140 τ.μ.,1975.0,['0'],4.0,1.0,πριν από 3 ημέρες,2023-06-01,38.009415122490125,23.727649156421045,,1868680.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/814950238/athhna-katw-pathsia-800-140,Αθήνα,Κάτω Πατήσια,Διαμέρισμα,140.0,5.714285714285714,[0.0],0.0,1,3,ημ,3
814956476,47138443,Διαμέρισμα 50 τ.μ.,Αθήνα (Μετς),920.0,18,50 τ.μ.,1970.0,['3'],1.0,2.0,πριν από 3 ημέρες,2023-06-01,37.966088,23.736364,BLUEGROUND REAL ESTATE,1220409.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/814956476/athhna-mets-920-50,Αθήνα,Μετς,Διαμέρισμα,50.0,18.4,[3.0],3.0,1,3,ημ,3
814547213,47119901,Διαμέρισμα 34 τ.μ.,Αθήνα (Ιπποκράτειο),450.0,13,34 τ.μ.,,['5'],1.0,1.0,πριν από 1 εβδομάδα,2023-06-01,37.98369429415896,23.760133766628016,,1416328.0,458953.0,https://www.xe.gr/property/d/enoikiaseis-katoikion/814547213/athhna-ippokrateio-450-34,Αθήνα,Ιπποκράτειο,Διαμέρισμα,34.0,13.235294117647058,[5.0],5.0,1,1,εβ,7
814167147,47102797,Διαμέρισμα 70 τ.μ.,Αθήνα (Λόφος Σκουζέ),630.0,9,70 τ.μ.,,['4'],2.0,1.0,πριν από 2 εβδομάδες,2023-06-01,38.001683,23.71732,,2264910.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/814167147/athhna-lofos-skoyze-630-70,Αθήνα,Λόφος Σκουζέ,Διαμέρισμα,70.0,9.0,[4.0],4.0,1,2,εβ,14
